ubigeo,year,population,level
021307,1992,3294,district
021307,1993,3341,district
021307,1994,3389,district
021307,1995,3439,district
021308,1990,1261,district
021308,1991,1280,district
021308,1992,1296,district
021308,1993,1312,district
021308,1994,1328,district
021308,1995,1347,district
021400,1990,7686,province
021400,1991,7549,province
021400,1992,7412,province
021400,1993,7274,province
021400,1994,7137,province
021400,1995,7000,province
021401,1990,2052,district
021401,1991,2027,district
021401,1992,2011,district
021401,1993,1990,district
021401,1994,1950,district
021401,1995,1885,district
021402,1990,483,district
021402,1991,475,district
021402,1992,464,district
021402,1993,452,district
021402,1994,442,district
021402,1995,436,district
021403,1990,281,district
021403,1991,266,district
021403,1992,256,district
021403,1993,248,district
021403,1994,242,district
021403,1995,235,district
021404,1990,573,district
021404,1991,570,district
021404,1992,563,district
021404,1993,556,district
